#Wavelength (cm)	Flux (erg s-1 cm-3)
1.206776814406369e-05	118858238403.68388
1.207380202813572e-05	120949934596.26395
1.2079838929149788e-05	123042676636.94032
1.2085878848614362e-05	125136465048.637
1.2091921788038669e-05	127231300354.53986
1.2097967748932688e-05	129327183078.09554
1.2104016732807153e-05	4781413311760.062
1.2110068741173555e-05	11789646595676.572
1.2116123775544141e-05	18801383996236.08
1.2122181837431912e-05	25816627265495.34
1.2128242928350628e-05	32835378156389.973
1.2134307049814803e-05	39857638422730.52
1.2140374203339709e-05	46883409819202.46
1.2146444390441378e-05	53912694101374.06
1.2152517612636599e-05	60945493025686.54
1.2158593871442915e-05	67981808349459.984
1.2164673168378635e-05	68653786948915.36
1.2170755504962824e-05	67409093871269.836
1.2176840882715304e-05	66163778447085.625
1.218292930315666e-05	64917840365189.28
1.2189020767808237e-05	63671279314252.03
1.2195115278192141e-05	62424094982789.09
1.2201212835831237e-05	61176287059160.4
1.2207313442249152e-05	59927855231569.84
1.2213417098970276e-05	58678799188065.695
1.221952380751976e-05	57429118616539.86
1.2225633569423519e-05	56178813204728.23
1.2231746386208229e-05	54927882640210.7
1.2237862259401332e-05	53676326610410.836
1.2243981190531032e-05	52424144802596.17
1.2250103181126296e-05	51171336903877.55
1.2256228232716859e-05	49917902601209.47
1.2262356346833217e-05	48663841581390.08
1.2268487525006632e-05	47409153531060.83
1.2274621768769134e-05	46153838136706.484
1.2280759079653519e-05	44897895084654.73
1.2286899459193345e-05	43641324061076.94
1.2293042908922942e-05	42384124751987.414
1.2299189430377402e-05	41126296843243.445
1.2305339025092591e-05	39867840020544.91
1.2311491694605136e-05	38608753969435.32
1.2317647440452437e-05	37349038375300.14
1.2323806264172663e-05	36088692923367.78
1.2329968167304748e-05	34827717298709.586
1.23361331513884e-05	33566111186238.836
1.2342301217964093e-05	32303874270712.11
1.2348472368573074e-05	31041006236727.562
1.235464660475736e-05	29777506768725.953
1.2360823928059738e-05	28513375550990.29
1.2367004340023766e-05	27248612267645.875
1.2373187842193778e-05	25983216602659.555
1.2379374436114875e-05	24717188239840.79
1.2385564123332932e-05	23450526862840.617
1.2391756905394598e-05	22183232155151.992
1.2397952783847296e-05	20915303800109.43
1.2404151760239219e-05	19646741480889.36
1.2410353836119338e-05	18377544880509.805
1.2416559013037397e-05	17107713681829.977
1.2422767292543915e-05	15837247567551.031
1.2428978676190187e-05	14566146220214.64
1.2435193165528281e-05	13294409322204.742
1.2441410762111045e-05	12022036555745.797
1.24476314674921e-05	10749027602903.508
1.2453855283225845e-05	9475382145585.133
1.2460082210867458e-05	8201099865537.758
1.2466312251972892e-05	6926180444350.406
1.2472545408098878e-05	5650623563452.617
1.2478781680802926e-05	4374428904114.461
1.2485021071643326e-05	3097596147446.539
1.2491263582179147e-05	1820124974400.336
1.2497509213970236e-05	542015065767.5078
1.2503757968577221e-05	32401633937.39119
1.251000984756151e-05	32572229971.64892
1.2516264852485289e-05	32742911303.923748
1.2522522984911531e-05	32913677976.86475
1.2528784246403987e-05	33084530033.14223
1.2535048638527189e-05	33255467515.447834
1.2541316162846452e-05	33426490466.49457
1.2547586820927875e-05	33597598929.016857
1.2553860614338339e-05	33768792945.770412
1.2560137544645507e-05	33940072559.532314
1.2566417613417829e-05	34111437813.101093
1.2572700822224537e-05	34282888749.296677
1.2578987172635649e-05	34454425410.96036
1.2585276666221966e-05	34626047840.954865
1.2591569304555077e-05	34797756082.16438
1.2597865089207355e-05	34969550177.49451
1.2604164021751957e-05	35141430169.87226
1.2610466103762833e-05	35313396102.24624
1.2616771336814713e-05	35485448017.586365
1.2623079722483119e-05	35657585958.88417
1.2629391262344359e-05	35829809969.15261
1.263570595797553e-05	36002120091.426216
1.2642023810954517e-05	36174516368.76093
1.2648344822859993e-05	36346998844.23433
1.2654668995271423e-05	36519567560.94547
1.2660996329769058e-05	36692222562.01497
1.2667326827933941e-05	36864963890.584984
1.2673660491347908e-05	37037791589.81932
1.2679997321593581e-05	37210705702.903244
1.2686337320254377e-05	37383706273.04373
1.2692680488914503e-05	37556793343.46926
1.269902682915896e-05	37729966957.43004
1.2705376342573539e-05	37903227158.19777
1.2711729030744824e-05	38076573989.065865
1.2718084895260195e-05	38250007493.3494
1.2724443937707825e-05	38423527714.38511
1.2730806159676678e-05	38597134695.53132
1.2737171562756516e-05	38770828480.16813
1.2743540148537893e-05	38944609111.69723
1.2749911918612162e-05	39118476633.54212
1.2756286874571467e-05	39292431089.1479
1.2762665018008752e-05	39466472521.98149
1.2769046350517756e-05	39640600975.53152
1.2775430873693015e-05	39814816493.30831
1.2781818589129861e-05	39989119118.844
1.2788209498424426e-05	40163508895.69246
1.2794603603173637e-05	40337985867.42931
1.2801000904975222e-05	40512550077.65203
1.2807401405427709e-05	40687201569.97988
1.2813805106130422e-05	40861940388.05391
1.2820212008683486e-05	41036766575.536934
1.2826622114687828e-05	41211680176.11374
1.2833035425745171e-05	41386681233.49083
1.2839451943458044e-05	41561769791.396614
1.2845871669429772e-05	41736945893.58133
1.2852294605264486e-05	41912209583.817154
1.2858720752567117e-05	42087560905.89808
1.28651501129434e-05	42262999903.640045
1.2871582687999872e-05	42438526620.880905
1.2878018479343872e-05	42614141101.480385
1.2884457488583543e-05	42789843389.32015
1.2890899717327833e-05	42965633528.30382
1.2897345167186497e-05	43141511562.356995
1.290379383977009e-05	43317477535.42721
1.2910245736689974e-05	43493531491.48395
1.2916700859558318e-05	43669673474.51869
1.2923159209988097e-05	43845903528.545
