#Wavelength (cm)	Flux (erg s-1 cm-3)
1.1433545293894245e-05	11048506382.412657
1.1439262066541192e-05	11036155192.802448
1.1444981697574463e-05	11023797827.597437
1.145070418842325e-05	11011434283.709824
1.145642954051746e-05	10999064558.050266
1.1462157755287718e-05	10986688647.52788
1.1467888834165361e-05	10974306549.050232
1.1473622778582443e-05	10961918259.523344
1.1479359589971733e-05	10949523775.851694
1.1485099269766717e-05	10937123094.93821
1.14908418194016e-05	10924716213.684267
1.14965872403113e-05	10912303128.989697
1.1502335533931454e-05	10899883837.75278
1.150808670169842e-05	10887458336.870243
1.1513840745049268e-05	10875026623.237267
1.1519597665421793e-05	10862588693.74747
1.1525357464254503e-05	10850144545.292933
1.153112014298663e-05	10837694174.764164
1.1536885703058124e-05	10825237579.050133
1.1542654145909653e-05	10812774755.038244
1.1548425472982608e-05	10800305699.61435
1.1554199685719098e-05	10801201877.677748
1.1559976785561957e-05	10807114180.223497
1.1565756773954738e-05	10813029438.920519
1.1571539652341714e-05	10818947655.24689
1.1577325422167884e-05	10824868830.681421
1.1583114084878967e-05	10830792966.703672
1.1588905641921406e-05	10836720064.793934
1.1594700094742366e-05	10842650126.43324
1.1600497444789737e-05	10848583153.103369
1.1606297693512132e-05	10854519146.28683
1.1612100842358887e-05	10860458107.466885
1.1617906892780066e-05	10866400038.127527
1.1623715846226455e-05	10872344939.753502
1.1629527704149566e-05	10878292813.830288
1.1635342468001641e-05	10884243661.844112
1.1641160139235642e-05	10890197485.281946
1.1646980719305258e-05	10896154285.631496
1.165280420966491e-05	10902114064.381222
1.1658630611769742e-05	10908076823.020323
1.1664459927075626e-05	10914042563.038742
1.1670292157039162e-05	10920011285.92717
1.1676127303117681e-05	10925982993.177044
1.1681965366769239e-05	10931957686.280542
1.1687806349452622e-05	10937935366.730593
1.1693650252627349e-05	10943916036.020868
1.1699497077753663e-05	10949899695.64579
1.170534682629254e-05	10955886347.100523
1.1711199499705686e-05	10961875991.880985
1.1717055099455538e-05	10967868631.483835
1.1722913627005265e-05	10973864267.406487
1.1728775083818767e-05	10979862901.1471
1.1734639471360677e-05	10985864534.204584
1.1740506791096357e-05	10991869168.078598
