#Wavelength (cm)	Flux (erg s-1 cm-3)
1.316440196652058e-05	130155600092.66307
1.317098416750384e-05	130155600092.66307
1.3177569659587591e-05	130155600092.66307
1.3184158444417384e-05	130155600092.66307
1.3190750523639592e-05	130155600092.66307
1.3197345898901411e-05	130155600092.66307
1.3203944571850861e-05	130155600092.66307
1.3210546544136787e-05	130155600092.66307
1.3217151817408855e-05	130155600092.66307
1.3223760393317558e-05	130155600092.66307
1.3230372273514216e-05	130155600092.66307
1.3236987459650972e-05	130155600092.66307
1.3243605953380797e-05	130155600092.66307
1.3250227756357487e-05	130155600092.66307
1.3256852870235665e-05	130155600092.66307
1.3263481296670783e-05	130155600092.66307
1.3270113037319117e-05	130155600092.66307
1.3276748093837777e-05	130155600092.66307
1.3283386467884695e-05	130155600092.66307
1.3290028161118636e-05	130155600092.66307
1.3296673175199194e-05	130155600092.66307
1.3303321511786793e-05	130155600092.66307
1.3309973172542686e-05	130155600092.66307
1.3316628159128956e-05	130155600092.66307
1.332328647320852e-05	130155600092.66307
1.3329948116445123e-05	122419584849.0674
1.3336613090503345e-05	45276109777.67197
1.3343281397048596e-05	75875910993.13817
1.334995303774712e-05	185601951878.7486
1.3356628014265992e-05	360008677589.39014
1.3363306328273124e-05	257529566338.32074
1.3369987981437259e-05	2955114745.4938674
1.3376672975427977e-05	5200987561.174738
1.338336131191569e-05	5248641165.003039
1.3390052992571647e-05	4230897311.7634153
1.3396748019067933e-05	5815807051.736067
1.3403446393077466e-05	5862220502.974895
1.3410148116274004e-05	5095130544.530024
1.341685319033214e-05	5149227462.107875
1.3423561616927306e-05	4573317583.076757
1.343027339773577e-05	3972970002.2418566
1.3436988534434636e-05	5289999654.365711
1.3443707028701853e-05	3990490857.516819
1.3450428882216203e-05	1862125412.5136895
1.3457154096657311e-05	2289292787.701528
1.346388267370564e-05	4086940560.719285
1.3470614615042491e-05	6066763820.683191
1.3477349922350012e-05	6219828179.799085
1.3484088597311186e-05	6061550830.975259
1.3490830641609841e-05	6118695970.5608
1.3497576056930645e-05	7316288682.967776
1.350432484495911e-05	5550231358.107367
1.351107700738159e-05	6324872291.948381
1.351783254588528e-05	16872785580.683084
1.3524591462158221e-05	11727444526.123346
1.35313537578893e-05	5384358294.903016
1.3538119434768243e-05	6013174006.560262
1.3544888494485626e-05	5422582663.770796
1.3551660938732868e-05	4910059129.034113
1.3558436769202233e-05	5007662462.648935
1.3565215987586833e-05	8120017831.02833
1.3571998595580625e-05	9034269840.65469
1.3578784594878414e-05	6019077087.322371
1.3585573987175853e-05	5643842824.163915
1.3592366774169441e-05	5519004442.611219
1.3599162957556525e-05	5445366094.757146
1.3605962539035302e-05	6245153475.190474
1.361276552030482e-05	6823809556.883856
1.3619571903064971e-05	7089818350.860057
1.3626381689016503e-05	5404621028.932723
1.363319487986101e-05	7519349044.67807
1.364001147730094e-05	11406410750.220142
1.3646831483039589e-05	6613342886.3481865
1.3653654898781107e-05	5147108595.640101
1.3660481726230498e-05	5223507295.534565
1.3667311967093612e-05	3799137481.2614098
1.3674145623077158e-05	3899106800.2675405
1.3680982695888696e-05	4937966845.065851
